"brown n. 褐色,棕色",brown ,Canada n. 加拿大,Canada ,cent n.美分(100 cents =1 dollar) ,cent ,"choice n. 选择,抉择",choice ,,,,
,,,,centigrade 摄氏的,centigrade ,"choke 窒息,噎住",choke ,,,,
,,"Canadian a. 加拿大的,加拿大人的 n. 加拿大人",Canadian ,"centimeter (美 centimeter) n. 公分, 厘米",centimeter ,"choose (chose, chosen) vt. ",choose ,,,,
,,,,,,chopsticks n. 筷子,chopsticks ,,,,
brunch n. 早午餐,brunch ,cancel vt. 取消,cancel ,"central 中心的,中央的,主要的 ",central ,Christian n. 基督教徒和天主教徒的总称 ,Christian ,,,,
,,,,,,Christmas 圣诞节(12 月 25 日),Christmas ,,,,
,,,,"centre /center n. 中心,中央",centre ,"church n. 教堂,教会",church ,,,,
,,cancer n. 癌,cancer ,"century n. 世纪,百年",century ,cigar n. 雪茄烟,cigar ,,,,
brush v. 刷子,brush ,candidate n. 候选人,candidate ,"ceremony n. 仪式,典礼",ceremony ,"cigarette n. 纸烟,香烟",cigarette ,,,,
"bucket n. 铲斗,桶",bucket ,candle n. 蜡烛,candle ,"certain a. (未指明真实名称的)某......,",certain ,"cinema n. 电影院,电影",cinema ,,,,
"budget n.预算,预算案",budget ,candy n. 糖果,candy ,,,circle n. vt. 圆圈 将......圈起来,circle ,,,,
,,,,,,circulate 循环,circulate ,,,,
"build (built, built) v. 建筑,造 ",build ,canteen n. 小卖部;小饭馆,canteen ,"certainly ad. 当然,是的,一定,无疑 ",certainly ,"circumstance 环境,状况,境遇 ",circumstance ,,,,
,,,,,,"citizen n. 公民,居民",citizen ,,,,
,,,,"certificate n. 证明,证明书",certificate ,"city n. 市,城市,都市",city ,,,,
"building n. 建筑物,房屋,大楼",building ,"cap n. (无檐的或仅在前面有檐的)帽子,",cap ,"chain n. 链, 链条",chain ,,,,,,
"bunch n.(一)球,束,串",bunch ,,,chair n. 椅子,chair ,,,,,,
"burden n. 负担,包袱;",burden ,capital n. 首都;大写;资本,capital ,"chairman n. 主席,会长,议长 ",chairman ,,,,,,
,,,,"chairwoman n. 女主席, 女会长,女议长",chairwoman ,,,,,,
,,,,chalk n. 粉笔,chalk ,,,,,,
"burn ( burnt,burnt)",burn ,"captain n. (海军)上校,船长,舰长, 队长",captain ,challenge n.挑战(性),challenge ,,,,,,
,,"car n. 汽车,小卧车",car ,"champion n.冠军,优胜者",champion ,,,,,,
,,"carbon n. 碳 卡片,",carbon ,"chance n. 机会,可能性",chance ,,,,,,
,,"card n.名片,纸牌",card ,"change n. 零钱,找头;",change ,,,,,,
,,"care n. 照料,保护,小心",care ,,,,,,,,
"burst v. 突然发生, 突然发作",burst ,,,,,,,,,,
"bury vt. 埋,葬",bury ,,,,,,,,,,
bus n. 公共汽车,bus ,"careful a. 小心的,谨慎的",careful ,,,,,,,,
"bush n. 灌木丛,矮树丛",bush ,"careless a. 粗心的,漫不经心的 carpet n. 地毯",careless ,,,,,,,,
"business n 生意,交易 ",business ,"carriage n. 四轮马车,(火车)客车厢",carriage ,,,,,,,,
businessman /woman n.(男)商人/企业家,businessman ,,,,,,,,,,
busy a. 忙(碌)的,busy ,,,,,,,,,,
"but conj. 但是,可是",but ,,,,,,,,,,
"butcher n. 肉店,屠夫",butcher ,,,,,,,,,,
"butter n. 黄油,奶油 ",butter ,,,,,,,,,,
butterfly n. 蝴蝶,butterfly ,,,,,,,,,,
