"similar a. 相似的,像  ",similar ,"so ad. 如此,非常 conj. 因此",so ,spirit n. 精神,spirit ,"stomach n. 胃,胃部",stomach ,"sun n. 太阳,阳光",sun ,"tale n.故事, 传说",tale ,than conj. 比,than ,thunder n. 雷电交加暴风雨,thunder ,"tourism n. 旅游业, 观光",tourism 
"simple a. 简单的,简易的",simple ,soap n. 肥皂,soap ,"splendid a. 灿烂的,辉煌的,(口语)极好 的",splendid ,"stone n. 石头,石料",stone ,sunburnt a. 晒黑的,sunburnt ,"talk n.& v. 谈话,演讲,交谈",talk ,thank vt. 感谢 n. (复)谢意,thank ,Thursday n. 星期四,Thursday ,"tourist n. 旅行者,观光者",tourist 
since ad. 从那时以来,since ,sob v.哭泣,sob ,spoken vt. speak 的过去分词 ,spoken ,"stop n. 停,(停车)站 v. 阻止",stop ,"sunlight n. 日光,阳光",sunlight ,tall a. 高的,tall ,"thankful a. 感谢的,感激的",thankful ,"thus ad. 这样, 因而",thus ,"toward(s) prep. 向,朝,对于",toward(s) 
,,,,spokesman/woman (pl spokesmen/women) 男/女发言人,spokesman/woman ,"storage n.存储,仓库",storage ,sunglasses n. 太阳眼镜,sunglasses ,"tank n.水槽,池塘",tank ,"that a.& pron.那,那个",that ,"ticket n. 票,卷",ticket ,towel n. 毛巾,towel 
,,soccer n. 足球,soccer ,"sponsor v. 发起,赞助 n.赞助者",sponsor ,"store n.商店 vt.储藏,存储",store ,sunshine n. 阳光,sunshine ,tap n.(自来水、煤气等的)龙头,tap ,,,"tidy a. 整洁的 vt. 弄整洁,弄干净",tidy ,tower n. 塔,tower 
,,"social a. 社会的,社交的",social ,"spoon n. 匙, 调羹",spoon ,"storm n. 风暴,暴(风)雨",storm ,Sunday n. 星期日,Sunday ,"tape n.磁带,录音带",tape ,"the art.这(那)个,这(那)些(用于特",the ,"tie vt.(用绳,线)系,拴,扎 n. 领带, 绳子,结,关系",tie ,"town n. 城镇,城",town 
sincerely ad. 真诚地,sincerely ,socialism n. 社会主义,socialism ,spoonful n. 一匙(的量),spoonful ,"story n. 故事,小说",story ,"sunny a. 晴朗的,阳光充足的",sunny ,tape recorder n. 磁带录音机,tape recorder,,,tiger n. 老虎,tiger ,"toy n. 玩具, 玩物",toy 
"sing (sang, sung) v. 唱,唱歌",sing ,society n. 社会,society ,"sport n. 运动,(复,英)运动会",sport ,straight a.直的 ad. 一直地 ,straight ,sunset n. 日落(时分),sunset ,target n.目标 v。把...作为目标,target ,,,tight a. 紧的,tight ,"track n. 轨道, 田径",track 
,,,,,,"straightforward a.简单的,直率的",straightforward ,super a.超级的,super ,"task n. 任务, 工作",task ,,,"till conj.& prep. 直到,直到......为止 ",till ,trade n. 贸易 vt. 用......进行交换 ,trade 
,,,,,,,,,,,,,,,,"tradition n.传统,传说",tradition 
"single a. 单一的,单个的",single ,sock n.短袜,sock ,"spot n. 斑点,污点,场所,地点 v. 沾上 污渍",spot ,strait n. 海峡,strait ,superior adj. 职位(级别)更高的;上级,superior ,"taste n. 品尝, 尝味,味道 vt. 品尝, 尝味 ",taste ,"theater n.剧场,戏院",theater ,"time n. 时间,时期,钟点,次,回 vt. 测",time ,"traditional adj.传统的,传说的",traditional 
,,,,,,,,,,tasty a. 味道好的,tasty ,theft n. 盗窃案,theft ,,,"traffic n. 交通,来往车辆",traffic 
"sink n. 洗涤槽,污水槽",sink ,"soft a. 软的,柔和的",soft ,"spread (spread, spread) v. 推广,伸出 n. 传 布,伸展 a. 扩延的",spread ,"strange a. 奇怪的,陌生的",strange ,,,"tax n. 税,税款",tax ,their pron. 他(或她、它)们的,their ,"timetable n. (火车、公共汽车等)时间表, (学校)课表",timetable ,"train n. 火车 v. 培训,训练",train 
"sink (sank/sunk, sunk/sunken) vi. 下沉, 消沉",sink ,"soil n. 土壤,土地",soil ,"spring n.春天,弹簧,跳跃,泉水",spring ,"stranger n. 陌生人,外人",stranger ,supermarket n. 超级市场,supermarket ,taxi n. 出租汽车,taxi ,theirs pron. 他(或她、它)们的(名词性 物主 代词),theirs ,"tin n.(英)罐头,听头",tin ,training n. 培训,training 
"sister-in-law n. 嫂,弟媳",sister-in-law ,"solar a.日光的,阳光的",solar ,,,"straw n 稻草,麦秆",straw ,,,taxpayer n.纳税人,taxpayer ,them pron. 他/她/它们(宾格),them ,"tiny a. 极小的,微小的",tiny ,"transform vt.变换,变形",transform 
sir n. 先生,sir ,"soldier n. 士兵,战士",soldier ,,,strawberry n. 草莓,strawberry ,"supper n. 晚餐,晚饭",supper ,"tea n. 茶,茶叶",tea ,theme n. 主题,theme ,"tip n. & v.顶端,告诫, 提示 (给)小费",tip ,translate vt. 翻译,translate 
"sit (sat, sat) vi. 坐",sit ,"solid a. 结实的,固体的 n. 固体",solid ,"square n.广场 a.平方的,方形的, squeeze v. 挤,紧握,压榨 n.紧握",square ,"stream n. 小河, 溪流",stream ,"supply vt.& n. 供给,供应 ",supply ,"teach (taught,taught)",teach ,themselves pron. 他/她/它们自己,themselves ,tire vi. 使疲劳,tire ,"translation n. 翻译, 译文",translation 
,,,,,,,,"support vt.& n. 支持,赞助",support ,"teacher n. 教师,教员",teacher ,"then ad. 当时,那时,然后,那么(通常用 于句首或句尾)",then ,"tired a. 疲劳的,累的",tired ,"translator n. 翻译家,译者",translator 
,,,,,,,,"suppose vt. 猜想,假定,料想",suppose ,"team n. 队,组",team ,theory n. 理论,theory ,tiresome a.令人厌倦的,tiresome ,"transparent adj.透明的,发亮的",transparent 
,,,,,,,,"sure a. 确信,肯定",sure ,"teamwork n.合作,协同工作",teamwork ,"there int. 那!你瞧(表示引起注意) n. 那 里,那儿 ad. 在那里",there ,"title n. 标题,题目",title ,transport n.& vt.运输,transport 
"situation n. 形势,情况",situation ,"some a. 一些,若干,有些,某一   不知为什么 ",some ,"stable a.稳定的,牢固的",stable ,"street n. 街,街道",street ,surface n. 表面,surface ,"tear n. 眼泪 v. (tore, torn)扯破, 撕开 ",tear ,"therefore ad. 因此,所以",therefore ,"to prep.(动词不定式符号,无词义), (表示接受动作的人或物)给,对,向, 到,在......之 前",to ,trap n.陷阱 vt.使陷入困境,trap 
,,,,,,,,,,"technical a. 技术的,工艺的",technical ,these a. & pron.这些,these ,"toast v.& n 祝酒,敬酒",toast ,travel n.& vi.旅行,travel 
,,somebody /someone pron. 某人,somebody ,staff n.职员,staff ,"strength n. 力量,力气",strength ,surgeon n. 外科医生,surgeon ,"technique n. 技术, 技巧,方法 ",technique ,"they pron.他(她)们,人们",they ,"tobacco n. 烟草,烟叶",tobacco ,traveler  /traveller n. 旅行者,traveler 
,,,,,,,,,,technology n. 技术,technology ,thick a.厚的,thick ,"today ad.& n. 今天,现在,当前",today ,"treasure n. 金银财宝, 财富",treasure 
,,somehow adv 以某种方法;,somehow ,"stage n. 舞台,阶段",stage ,"stress n.压力 v.强调,重读",stress ,surprise vt. 使惊奇 n. 诧异 ,surprise ,"teenager n. (13~19 岁的)青少年,十几 岁的少年",teenager ,"thief (pl.thieves) n. 窃贼, 小偷",thief ,"together ad. 一起,共同",together ,"treat vt. 对待,看待",treat 
,,,,,,,,"surround vt. 围绕, 包围",surround ,telegram n. 电报,telegram ,"thin a. 薄的,瘦的,稀的",thin ,toilet n. 厕所,toilet ,"treatment n. 治疗,疗法",treatment 
,,,,,,,,surrounding a. 周围的,surrounding ,telegraph v. (拍) 电报,telegraph ,"thing n. 东西,(复)物品,用品,事情,事 件",thing ,"tomato n. 西红柿,番茄",tomato ,tree n. 树,tree 
,,someone pron 某人,someone ,stair n. 楼梯,stair ,"strict a. 严格的,严密的",strict ,"survival n。幸存,残存物",survival ,Telescope n.望远镜,Telescope ,"think(thought, thought) v. 想,认为,考虑 thinking n. 想法,看法","think(thought, ",tomb n.坟墓,tomb ,tremble v.颤抖,tremble 
six 六,six ,"something pron.某事, 某物",something ,stamp n. 邮票,stamp ,"strike vt (struck, struck 或 stricken) (钟)鸣,敲(响), 侵袭 n. 罢工",strike ,survive v.幸存,survive ,telephone /phone v.打电话 n. 电话 ,telephone ,third num. 第三,third ,tomorrow ad. & n.明天,tomorrow ,"trend n, vi,趋势 倾向",trend 
,,,,,,,,,,television /TV n.电视机,television ,"thirst n.渴,口渴",thirst ,ton n.(重量单位)吨,ton ,"trial n.审判,试验,试用",trial 
"size n. 尺寸,大小",size ,sometimes ad. 有时,sometimes ,"stand (stood, stood) v.站,坐落,经受,持 久",stand ,string n.细绳 v.扎,string ,suspect n. 犯罪嫌疑人,suspect ,"tell (told, told) vt. 告诉,讲述 ",tell ,thirsty a. 渴,thirsty ,"tongue n. 舌,舌头",tongue ,"triangle n.& a.三角形,三角形的",triangle 
,,,,,,,,,,temperature n. 温度,temperature ,thirteen num. 十三,thirteen ,"tonight ad.& n. 今晚,今夜",tonight ,"trick n. 诡计,把戏",trick 
"skate vi. 溜冰,滑冰",skate ,somewhere ad. 在某处,somewhere ,,,"strong a. 强(壮)的,坚固的,强烈的,坚 强的",strong ,"swallow vt. 吞下, 咽下",swallow ,"temple n.庙宇,寺院",temple ,thirty num. 三十,thirty ,"too ad. 也,还,又,太,过分,很,非常",too ,"trip n. 旅行,旅程",trip 
skateboard n. 滑雪板,skateboard ,son n. 儿子,son ,standard n. & a. 标准(的),standard ,struggle vi. 斗争,struggle ,swear v. 发誓,swear ,"temptation n.引诱,诱惑",temptation ,"this a.& pron.这,这个",this ,"tool n. 工具,器具",tool ,"trouble vt. 使苦恼,使忧虑,使麻烦",trouble 
"ski n.& vi.滑雪板,滑雪",ski ,"song n. 歌唱,歌曲",song ,"star n. 星,恒星",star ,stubborn a. 顽强的,stubborn ,"sweat n. 汗,汗水",sweat ,temporary a。临时的,temporary ,thorough a. 彻底的,thorough ,tooth (pl. teeth) n.,tooth ,,
"skill n. 技能,技巧",skill ,"soon ad. 不久,很快,一会儿",soon ,"stare vi. 盯,凝视",stare ,"studio n. 工作室,演播室",studio ,"sweater n. 厚运动衫,毛衣",sweater ,ten num. 十,ten ,those a.& pron. 那些,those ,toothache n.牙齿痛,toothache ,"trousers n. 裤子,长裤",trousers 
"skip v.跳跃,跳读 n. 跳读",skip ,"sorrow n. 悲伤,悲痛",sorrow ,"start v. 开始,着手,出发",start ,"study v. 学习,研究 n. 书房",study ,"sweep (swept,swept) n.扫除,席卷 v.扫除,用手指弹,掠过",sweep ,tend v.趋向,tend ,"though conj. 虽然,可是",though ,toothbrush n .牙刷,toothbrush ,"truck n. 卡车, 运货车,车皮",truck 
skirt n. 女裙,skirt ,"sorry a. 对不起,抱歉,难过的",sorry ,"starve v.使饿死,饿得要死",starve ,"stupid a. 愚蠢的,笨的",stupid ,"sweet a. 甜的,悦耳的 n. 糖果,甜点 ",sweet ,tendency n.倾向,tendency ,"thought n. 思考,思想 ,念头",thought ,toothpaste n.牙膏,toothpaste ,,
"sky n. 天,天空",sky ,"sort vt. 把......分类,拣选",sort ,"state n. 状态, 情形,国家,(美国的)州 ",state ,style n. 风格,style ,"swift adj. 快速的,迅速的",swift ,tennis n. 网球,tennis ,thousand num. 千,thousand ,,,"true a. 真的,真实的,忠诚的",true 
,,,,"statement n 陈述,声名",statement ,"subject n. 题目,主题,主语",subject ,,,"tense a.心烦意乱的,紧张的",tense ,thread n. 线,thread ,,,"truly ad. 真正地,真实地",truly 
skyscraper n.摩天楼,skyscraper ,,,statesman /woman n.政治家,statesman ,"subjective a.主观的,个人的",subjective ,"swim n. 游泳,游 vi. (swam, swum) 游泳, 游",swim ,"tension n.紧张,拉力",tension ,,,,,,
slave n. 奴隶,slave ,"n. 种类,类别",n. ,"station n. 站,所,车站,电台",station ,substitute v.替代 n.替代品,substitute ,swing n. 秋千,swing ,tent n. 帐篷,tent ,,,,,,
slavery n. 奴隶制度,slavery ,"soul n. 灵魂,心灵,气魄",soul ,"statistics n.统计,统计学",statistics ,succeed vi. 成功,succeed ,,,"term n. 学期,术语,条款",term ,,,,,,
"sleep (slept, slept) vi&n. 睡觉",sleep ,sound vi. 听起来 n. 声音,sound ,"stay n.& vi. 停留,逗留,呆",stay ,success n. 成功,success ,"sword n.刀,剑,战争",sword ,,,,,,,,
"sleeve n. 袖子,袖套",sleeve ,soup n. 汤,soup ,"steak n. 牛排,肉排,鱼排",steak ,"successful a. 成功的,有成就的",successful ,,,,,,,,,,
slice v. 切成薄片,slice ,sour a.酸的 n.酸味,sour ,"steady a.稳定的,牢固的",steady ,"such ad. 那么 pron. (泛指)人,事物 a. 这样的,那样的",such ,symbol n 象征   ,symbol ,,,,,,,,
"slide v. 滑动,溜",slide ,"south a. 南(方)的,向南的",south ,"steal (stole, stolen) vt. 偷, 窃取",steal ,sudden a. 突然的,sudden ,sympathy n.同情,sympathy ,,,,,,,,
"slight a. 轻微的,细小的",slight ,"ad. 向南方 n. 南方,南部",ad. ,"steam n. 汽,水蒸气",steam ,suddenly adv.突然地,suddenly ,"symptom n.症状,征兆",symptom ,,,,,,,,
"slightly ad. 轻微地, 苗条地",slightly ,"southern a. 南部的,南方的",southern ,"steel n. 钢,钢铁",steel ,"suffer vi. 受苦,遭受",suffer ,"system n. 体系,系统",system ,,,,,,,,
"slim a. 苗条的,纤细的",slim ,"sow (sowed,sowed/sown)v.播种",sow ,,,suffering n. 苦难,suffering ,,,,,,,,,,
slip v. 使滑动,slip ,space n. 空间,space ,,,sugar n. 糖,sugar ,,,,,,,,,,
"slow a.慢的, 迟钝的 ad. 缓慢地",slow ,"Spanish a. 西班牙人的,西班牙语的 n. 西 班牙语",Spanish ,,,,,,,,,,,,,,
smart adj 聪明的,smart ,"spare a. 空闲的,多余的,剩余的",spare ,,,,,,,,,,,,,,
"smell (smelt, smelt smell ed, mell ed) v.嗅, 闻到,发气味 n. 气味",smell ,"speak (spoke, spoken) v. 说,讲,谈话,发 言",speak ,,,,,,,,,,,,,,
smile n.& v. 微笑,smile ,"speaker n. 演讲人,演说家",speaker ,,,,,,,,,,,,,,
small a 小的,small ,"special a. 特别的,专门的",special ,,,,,,,,,,,,,,
"smoke n. 烟 v. 冒烟,吸烟",smoke ,,,,,,,,,,,,,,,,
"smoke free a.非吸烟的,无烟的",smoke ,,,,,,,,,,,,,,,,
"smooth a. 光滑的, 平坦的",smooth ,,,,,,,,,,,,,,,,
snack bar n. 快餐店,snack ,,,,,,,,,,,,,,,,
