"message n. 消息,音信",message ,"month n. 月,月份",month ,"nationwide ad. 全国范围内的,全国性的 ",nationwide ,"noisy a. 喧闹的,嘈杂的",noisy ,,,ours pron. 我们的(名词性物主代词) ,ours 
,,,,,,,,,,ourselves pron. 我们自己,ourselves 
,,,,"native a. 本土的,本国的",native ,"none pron. 无任何东西或人,无一人 ",none ,"often 经常,时常",often ,"out a. 外面的,下台的, 出局的",out 
,,,,,,noodle n. 面条,noodle ,,,,
metal n. 金属 a. 金属制成的,metal ,monument n.纪念碑,monument ,natural a. 自然的,natural ,"noon n. 中午,正午",noon ,"oh 哦,唔",oh ,,
"method n. 方法,办法",method ,"moon n. 月球,月光,月状物 ",moon ,"nature n. 自然, 性质,种类",nature ,nor conj. 也不,nor ,"oil n.油,油画颜料 v. 涂油,溶化,加油",oil ,,
,,"moral a. n.道德的 寓意,道德启示",moral ,navy n. 海军,navy ,,,"old a. 旧的,老的 n. 古时",old ,outcome n. 结果 ,outcome 
,,,,near a. 近的,near ,normal n.& a. 正常的(状态),normal ,Olympics a. & n.奥林匹克 奥林匹克运 动会,Olympics ,"outdoors a.户外的,野外的",outdoors 
"metre /meter n.米,公尺",metre ,more ,more ,,,"north a. 北的,朝北的,从北来的",north ,on prep. 在...之上,on ,,
"midday n. 中午, 正午",midday ,"morning n.早晨,上午",morning ,,,,,"once n.& ad. 一次,一度,从前 conj. 一 旦",once ,,
"middle n. 中间,当中,中级的",middle ,mosquiton .蚊子,mosquiton ,nearby a. 附近的,nearby ,,,"one n.一 int. 一,任何人 a. 一,一个 ",one ,,
,,,,,,,,"oneself pron. 自己, 自身",oneself ,"outer a. 外部的,外面的",outer 
midnight n. 午夜,midnight ,,,"nearly ad. 将近,几乎",nearly ,"northern a. 北方的,北部的",northern ,onion n. 洋葱,onion ,"outgoing adj. 友好的,外向的 ",outgoing 
,,,,,,,,,,"outline n. 轮廓,提纲",outline 
might 可能,might ,most (much 或 many 的最高级),most ,"neat a. 整洁的, 灵巧的",neat ,nose n. 鼻,nose ,"only a.唯一的 ad. 只,仅仅 conj. 可是,不 过",only ,output n. 产量,output 
"mild a. 温和的,暖和的,凉爽的",mild ,mother n. 母亲,mother ,"necessary a. 必需的,必要的",necessary ,"not ad. 不,没",not ,onto prep. 到......的上面,onto ,"outside n. 外面 ad. 在外面,向外面",outside 
mile n. 英里,mile ,motivation n. 动机,motivation ,"neck n. 颈,脖子",neck ,"note n. 便条,笔记,注释,钞票,纸币, 音符,音调 vt. 记下,记录,注意,留意 ",note ,"open n. 公开,户外,空旷 a. 开着的,开放的, 公开的",open ,,
,,,,,,notebook n. 笔记簿,notebook ,,,,
milk n. 牛奶 vt. 挤奶,milk ,"motor n. 发动机,马达",motor ,"need n. 需要,需求 aux.& v. 需要,必 须",need ,"nothing n. 没有东西,没有什么 adv. 一点 也不,并不",nothing ,"opening n. 开放,口子",opening ,"over prep. 在......上方,越过,遍及",over 
,,motorcycle ,motorcycle ,,,"notice n. 布告,通告,注意 vt. 注意,注 意到",notice ,opera n.歌剧,opera ,,
,,motto n.格言,motto ,"in need of 需要,缺少 needle n. 针",in need of,noun n.名词,noun ,"operate v. 做手术,运转, 经营,管理 ",operate ,overcoat n. 大衣,overcoat 
,,,,,,,,"operation n. 手术,操作",operation ,,
million num. 百万 n. 百万个(人或物) ,million ,"mountains n. 山,山脉",mountains ,,,novelist n.小说家,novelist ,operator n.接线员,operator ,overcome vt.克服(困难等) ,overcome 
,,,,,,,,,,overlook vt. 俯瞰,overlook 
millionaire n.百万富翁,millionaire ,mountainous a. 多山的,mountainous ,negotiate v. 谈判,negotiate ,November n. 十一月,November ,,,owe vt. 欠(债等),owe 
"mind n.思想,想法 ",mind ,"mouse (复 mice) n. 鼠,耗子,(计算机) 鼠标",mouse ,"neighbor n. 邻居,邻人,邻近 地区",neighbor ,now ad. 现在,now ,"opinion n. 看法,见解",opinion ,"own a. 自己的 v. 拥有,所有 ",own 
,,,,,,,,,,"owner n. 物主,所有人",owner 
"mindv. 介意,关心",mindv. ,moustache n. 小胡子,moustache ,neighborhood n. 社区 ,neighborhood ,"nowadays ad. 当今,现在",nowadays ,"oppose vt.反对,反抗",oppose ,ownership n.所有制,ownership 
,,,,"neither a. (两者)都不,也不",neither ,"nowhere ad. 任何地方都不,无处",nowhere ,"opposite n. 相反,对面 a. 相反的,对面 的",opposite ,"ox (复 oxen) n. 牛, 公牛 ",ox 
"mine n. 矿藏,矿山",mine ,"mouth n. 嘴,口",mouth ,"nephew n. 侄子,外甥",nephew ,"nuclear a. 原子核的,原子能的,核动力的 ",nuclear ,optimistic a.乐观的,optimistic ,"oxygen n. 氧, 氧气",oxygen 
,,,,,,"numb ad .v, 麻木的,失去知觉的",numb ,"or conj. 或,就是,否则",or ,"pace n. 步子,节奏 ",pace 
,,,,,,"number n. 数,数字,号码,数量",number ,orange a. 橙色的 n. 橘子,orange ,Pacific a. 太平洋的,Pacific 
,,"move v. 移动,搬动,搬家",move ,nervous a. 紧张不安的,nervous ,"nurse n. 护士,保育员",nurse ,"oral a. 口述的,口头上的",oral ,"pack n. 包,捆,(猎犬、野兽等的)一群 v. (为运输或储存而)打包",pack 
mineral n. 矿物质,mineral ,"movement n. 运动,活动",movement ,"nest n. 巢, 窝",nest ,nursery n. 托儿所,nursery ,,,,
"minister n. 部长,牧师",minister ,Mr. n.先生,Mr. ,net n. 网,net ,"nut n. 坚果,坚果仁(胡桃,栗子等) ",nut ,,,"package n.(尤指包装好或密封的容器)一 包,一袋,一盒",package 
ministry n. 牧师,ministry ,Mrs. 夫人,Mrs. ,"network n. 网络,网状系统",network ,"nutrition n 营养,营养物质",nutrition ,,,"packet n. 小包裹,袋",packet 
"minority n. 少数,少数民族",minority ,Ms MS.女士,Ms ,"never ad. 决不,从来没有",never ,"okay 行,好吧",okay ,,,"page n. 页,页码",page 
"minus prep. & a. 负的,减去的 ",minus ,"much (比较级 more,最高级 most) a.许多的,大量的",much ,new ,new ,O'clock ....点钟,O'clock ,,,,
"minute n. 分钟,一会儿,瞬间",minute ,"mud n. 泥, 泥浆",mud ,news ,news,"obey v. 服从,顺从,听从",obey ,,,"pain n. 疼痛,疼",pain 
mirror n. 镜子,mirror ,murder vt. 谋杀,murder ,newspaper n. 报纸,newspaper ,"object n. 物,物体, 宾语",object ,,,"painful a. 使痛的,使痛苦的",painful 
"Miss n. 小姐,女士(称呼未婚妇女)",Miss ,"museum n. 博物馆,博物院",museum ,"next a. 最近的,紧挨着的,隔壁的,下一 次",next ,"observe v. 观察,监视,观测 庆祝",observe ,,,"paint n. 油漆 vt. 油漆,粉刷,绘画",paint 
"miss vt. 失去,错过,缺",miss ,mushroom n. 蘑菇,mushroom ,,,,,,,,
"missile n.导弹,飞弹",missile ,"music n. 音乐,乐曲",music ,,,,,,,,
mist n. 薄雾..蒸汽,mist ,"musical a. 音乐的,爱好音乐的 n. 音乐片 ",musical ,"nice a. 令人愉快的,好的,漂亮的",nice ,,,,,,
,,"musician n. 音乐家,乐师",musician ,"niece n. 侄女,甥女",niece ,,,,,,
"mistake (mistook, mistaken) n. 错 误 vt. 弄错",mistake ,"must v. 必须,应当, 必定是 ",must ,"night n. 夜,夜间",night ,,,,,,
mistaken a. 错误的 ,mistaken ,mutton n. 羊肉,mutton ,,,,,,,,
misunderstand ,misunderstand ,,,,,,,,,,
"mix v. 混合,搅拌",mix ,,,,,,,,,,
mixture n. 混合物,mixture ,,,,,,,,,,
"model n. 模型,原形,范例,模范",model ,,,,,,,,,,
