,,,,,,,,"argue vi. 争辩, 争论",argue ,"audience n. 观众,听众",audience ,bargain ,bargain ,besides prep.,besides ,body n. 身体,body 
,,ad ,ad ,,,"angry a. 生气的,愤怒的 ",angry ,"argument n. 争论,辩论",argument ,August n. 八月,August ,bark v.,bark ,"best (good, well",best ,"boil v. 沸腾,烧开,煮...... ",boil 
,,,,,,,,,,,,,,,,bomb n.炸弹v.轰炸,bomb 
,,,,,,animal n. 动物,animal ,,,,,barrier ,barrier ,betray vt. 对...不忠; 背叛,betray ,bond n. 证券; 结合(物),bond 
ability n.能力,ability ,adapt vt. 使适应;改编,adapt ,agency n. 代理,agency ,ankle n. 踝关节,ankle ,"arise (arose, arisen) vi.升起 ",arise ,"aunt n. 伯母,舅母,婶,姑,姨 ",aunt ,base n.,base ,,,,
,,,,,,anniversary n. 周年纪念日 ,anniversary ,"arm .臂,支架",arm ,,,basement n. 地基,basement ,better (good,better ,,
,,,,,,"announce vt. 宣布,宣告",announce ,,,"Australia n. 澳洲,澳大利亚",Australia ,basic a. 基本的,basic ,had better 最好,had ,"bone n. 骨头,骨质(复数 bones 骨骼, 骨骸)",bone 
,,,,,,annoy vt.(使)烦恼,annoy ,,,"Australian a . 澳洲的,澳大利亚人的",Australian ,"basis n.基础,根据",basis ,between prep.,between ,"bonus n. 奖金,额外的津贴",bonus 
abnormal a.不正常的,abnormal ,"add vt.添加,增加",add ,agent n. 代理人; 代理商  ,agent ,"another a. 再一,别的",another ,army n. 军队,army ,"author n. 作者,作家",author ,"basin n.水盆,脸盆 ",basin ,beyond prep. (表示位置) 在......的那边 ,beyond ,"book n. 书,本子",book 
,,,,,,,,,,,,,,bicycle /bike n. 自行车,bicycle ,,
,,,,,,,,,,,,,,bid v. 要价,bid ,boom vi. 发出隆隆声; 快速发展; 暴涨 ,boom 
,,,,,,,,,,,,,,,,boot n. 靴子,boot 
,,,,,,,,,,,,basket n. 篮子,basket ,big a. 大的,big ,bored a.使人厌烦,bored 
,,,,,,,,,,,,basketball n. 篮球,basketball ,"bill n .账单,",bill ,"border n. 边缘,边境,国界",border 
,,,,"aggressive a.侵略的,咄咄逼人的",aggressive ,"answer v. 回答,答复,回信, ",answer ,,,authority n. 理论;权威,authority ,"bath n. 洗澡,浴室,澡盆 ",bath ,"billion num. 十亿,百亿 ",billion ,"boring a. 乏味的,无聊的",boring 
,,,,,,,,,,,,,,bingo n. 宾果游戏,bingo ,born a. 出生 be born 出生,born 
,,,,,,,,,,,,,,biology n. 生物(学),biology ,"borrow v. (向别人)借用,借",borrow 
,,,,,,,,,,,,,,bird n. 鸟(birdcage n. 鸟笼) ,bird ,"boss n. 领班,老板",boss 
,,,,,,,,,,,,,,"birth n. 出生, 诞生",birth ,"both a. 两,双 pron. 两者,双方 ",both 
,,,,,,,,,,,,,,,,"bother v.烦扰,打扰,烦恼,操心",bother 
,,,,,,,,,,,,,,,,bottle n. 瓶子,bottle 
,,,,,,,,,,,,"bathe vi. 洗澡,游泳",bathe ,birthday n. 生日,birthday ,"bottom n. 底部,底",bottom 
,,,,ago . 以前,ago ,ant n. 蚂蚁,ant ,"around ad.在周围,在附近 prep. 在......周围,大约",around ,"automatic a, 自动化的",automatic ,"bathroom n. 浴室,盥洗室",bathroom ,"birthplace n. 出生地,故乡",birthplace ,"bound vi. 跳,弹跳;",bound 
abroad ad. 到(在)国外,abroad ,addicted a.沉溺于。。  ,addicted ,"agree v. 同意,应允",agree ,Antarctic a. 南极的,Antarctic ,,,"Autumn n. 秋天,秋季",Autumn ,battery n. 电池,battery ,biscuit n. 饼干,biscuit ,boundary n. 边境,boundary 
"abolish vt. 废除,废止",abolish ,"addition n.额外,附加",addition ,"agreement n. 同意,协定,协议 ",agreement ,"anxiety n.忧虑,焦急",anxiety ,"arrange v.安排,布置 ",arrange ,"available a.可以利用的,合用的,可得 到的,可达到的",available ,,,"bit n. 一点,一些,少量的",bit ,how adv 怎样,how 
,,,,"agriculture n. 农业,农学",agriculture ,"anxious a. 忧虑的,焦急的",anxious ,"arrangement n.安排,布置",arrangement ,,,"battle n. 战斗,战役",battle ,"bite (bit, bitten) v. 咬,叮",bite ,bowl n. 碗,bowl 
,,,,,,"any pron.(无论)哪一个,哪些 任何的, (用于疑问句、否定句)一些,什么",any ,"arrest v.逮捕,拘捕",arrest ,,,bay n. 海湾,bay ,bitter a. 有苦,bitter ,"box n. 盒子,箱子",box 
,,,,,,"anybody / anyone pron. 任何人,无论谁",anybody ,"arrival n.到来,到达",arrival ,,,BC n. 公元前 ,BC ,black n. 黑色 a. 黑色的,black ,boxing n.拳击(运动),boxing 
,,,,,,,,,,,,"Be (am,are,is,was,were,being,been)",Be ,blackboard n. 黑板,blackboard ,boy n. 男孩,boy 
,,,,,,,,"arrive vi. 到达,达到",arrive ,,,beach n.海滩,beach ,"blame n.& v. 责备, 责怪",blame ,brain n. 脑(子),brain 
,,,,,,,,"arrow n. 箭,箭头",arrow ,,,"bear (bore, /born)v.忍",bear ,blank n.& a.,blank ,brake n. 闸 vi. 刹车,brake 
,,address n. 地址,address ,"ahead ad. 在前,向前",ahead ,anyhow ad. 不管怎样,anyhow ,"art n.艺术,美术,技艺",art ,avenue n. 大道,avenue ,beard n. (下巴上的)胡须 ,beard ,blanket ,blanket ,"branch n. 树枝;分公司,分店",branch 
,,,,,,,,,,,,,,,,brand n. 商标,brand 
,,,,,,,,,,,,,,,,brave a. 勇敢的,brave 
,,,,,,,,,,,,"beast n. 野兽,牲畜",beast ,,,bread n.面包,bread 
,,,,,,,,,,,,"beautiful a.美丽的,美观的",beautiful ,,,,
,,,,,,,,,,,,"beauty n. 美丽,美人",beauty ,,,,
,,,,,,,,,,,,because conj. 因为,because ,,,,
,,,,,,,,,,,,,,,,,
"about ad. 大约,到处,四处",about ,"adequate adj.足够的,充分的",adequate ,"aid n. 援助,救护,辅助器具",aid ,"anything pron. 什么事(物),任何事 (物)",anything ,"article n.文章,东西,物品,冠词 ",article ,"average a. 平均的,普通的",average ,,,,,,
,,,,,,,,artificial a.人工的,artificial ,,,"become (became, become) v. 变得,成为",become ,,,,
,,,,,,,,,,,,bed n. 床,bed ,,,,
above prep.在......上面,above ,adjust vt.调整;适应,adjust ,"aim n.目的,目标",aim ,anyway ad. 不管怎样,anyway ,artist n.艺术家,artist ,,,"bedroom n. 寝室,卧室",bedroom ,,,,
,,adjustment n. 调整;适应 ,adjustment ,"air n. 空气,大气",air ,anywhere ad. 任何地方,anywhere ,"as ad.& conj.如同,因为",as ,,,bee n.. 蜜蜂,bee ,,,,
,,"administration n.管理,行政",administration ,aircraft n. 飞机 (单复数同)  ,aircraft ,,,,,"avoid v. 避免,躲开,逃避",avoid ,,,,,,
,,,,"airline n. 航空公司,航空系统",airline ,"apart adj. 分离的,隔离的 ",apart ,"ash n. 灰, 灰末",ash ,,,beef n. 牛肉,beef ,,,,
,,,,,,"apartmentn. (美)楼中单元房,一套房 间,房间",apartmentn. ,,,,,beer n. 啤酒,beer ,,,,
,,admirable a.令人钦佩的,admirable ,airmail n.航空邮件,airmail ,"apologize vi. 道歉,谢罪",apologize ,,,awake (awoke/awoken) v. 唤醒 醒着的 ,awake ,"before prep. 在......以前,在......前面",before ,,,,
,,,,,,,,,,"award n. 奖品,奖励",award ,,,,,,
,,,,"airport n. 航空站,飞机场 ",airport ,"apology n. 道歉,歉意",apology ,"ashamed a. 惭愧, 害臊 ",ashamed ,"aware a.意识到的,知道的",aware ,,,,,,
,,,,,,,,Asia n. 亚洲,Asia ,,,,,,,,
,,,,alarm n. 惊恐; 警报; 闹铃,alarm ,apparent adj. 显然的;表面的,apparent ,"Asian a. 亚洲的,亚洲人的",Asian ,"away ad. 离开,远离",away ,,,,,,
,,,,album n. 相册; 唱片,album ,appeal a.吸引人的,appeal ,,,,,"beg v. 请求,乞求,乞讨  ",beg ,,,,
abroad adv. 国外的,abroad ,"admire v.钦佩, 羡慕",admire ,alcohol n.酒精,alcohol ,appear vi. 出现,appear ,aside ad. 在旁边,aside ,"awful a.令人畏惧的,可怕的",awful ,"begin (began,begun) v. 开始,着手",begin ,,,,
"absence n. 缺席,不在 ",absence ,"admission n.承认,认可",admission ,,,"appearance n. 出现,露面,容貌 ",appearance ,,,"awkward a.难对付的,棘手的; 笨拙的, 不灵活的",awkward ,"beginning n. 开始,开端",beginning ,,,,
,,,,,,"appetite n.欲望; 胃口,食欲;",appetite ,,,,,,,,,,
,,,,,,applaud v. 鼓掌,applaud ,,,,,,,,,,
"absent a.缺席的,不在的",absent ,"admit vt. 承认,准许(入场,入学,入 会)",admit ,alike a. & ad.像.....,alike ,apple n. 苹果,apple ,"ask v.问,询问,请求要求,邀请 ",ask ,,,,,,,,
,,,,,,,,"asleep a. 睡着的,熟睡",asleep ,,,,,,,,
absolute a.绝对的,absolute ,adolescence n.青春期,adolescence ,"alive a. 活着的,存在的",alive ,applicant n. 申请人,applicant ,aspect n.(问题等的)方面 ,aspect ,baby n. 婴儿,baby ,,,,,,
absorb v.吸收/受,absorb ,adopt vt.采纳;收养,adopt ,"all a.全(部),所有的,总,整 ",all ,application n. 申请,application ,"assist vt.帮助,协助",assist ,,,,,,,,
abstract a. 抽象的,abstract ,adore vt.敬慕;爱慕,adore ,"allow vt. 允许,准许",allow ,apply v. 申请,apply ,assess vt. 评定; 估价 ,assess ,bachelor n.学士;单身汉 ,bachelor ,,,,,,
,,,,,,,,,,"back ad. 回(原处),向后",back ,,,,,,
,,,,,,,,"assistance n. 帮助,援助",assistance ,,,,,,,,
,,,,,,,,"assistant n. 助手,助理",assistant ,,,,,,,,
,,,,,,,,"association n.联合,联系,联盟,",association ,,,,,,,,
,,,,,,,,"assumption n. 假定,假设;",assumption ,,,,,,,,
absurd a. 荒谬的; 荒唐的,absurd ,adult n. 成年人,adult ,"allowance n. 津贴,补贴,零用钱 ",allowance ,appoint vt. 任命,appoint ,astonish vt. 使惊讶,astonish ,,,,,,,,
,,,,"almost ad. 几乎,差不多",almost ,appointment n. 约会,appointment ,astronaut n. 宇航员,astronaut ,,,,,,,,
"abundant a.富饶的,丰富的",abundant ,"advance v. 推进,促进,前进",advance ,"alone a. 单独的,孤独的",alone ,"appreciate v. 欣赏, 感激 ",appreciate ,astronomy n. 天文学,astronomy ,,,,,,,,
,,,,,,appreciation n. 欣赏,appreciation ,,,,,,,,,,
abuse vt. 滥用; 虐待,abuse ,"in advance 在前面,预先,事先 ",in ,"along ad.向前,和......一起,一同",along ,approach n. 方法,approach ,"at prep. 在(几点钟),在(某处) ",at ,,,,,,,,
,,,,,,,,athlete n. 运动员,athlete ,,,,,,,,
,,"advantage n. 优点,好处",advantage ,alongside prep. 在...旁边,alongside ,,,Atlantic a. 大西洋的,Atlantic ,background n. 背景,background ,,,,,,
academic a.学术的,academic ,"adventure n. 冒险,奇遇",adventure ,aloud ad. 大声地,aloud ,appropriate a. 合适的,appropriate ,atmosphere n. 大气层;氛围,atmosphere ,backward (s) ad. 向后,backward ,,,,,,
,,advertise vt. 为......做广告 ,advertise ,already ad. 已经,already ,,,"atom n. 原子,微粒",atom ,"bacon n. 咸猪肉,熏猪肉",bacon ,,,,,,
,,advertisement n. 广告,advertisement ,also ad. 也,also ,approval a. 赞成的,approval ,"attach v.附加,隶属,系,贴",attach ,bacterium (复 bacteria) n.细菌】 ,bacterium ,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
academy n. 学术 ,academy ,"advice n. 忠告,劝告,建议",advice ,alternative n. 两者中选择其一 ,alternative ,,,,,bad ,bad ,,,,,,
,,,,"although conj. 虽然,尽管",although ,,,,,"badly ad. 坏,恶劣地 ",badly ,,,,,,
,,,,,,,,,,badminton n. 羽毛球,badminton ,,,,,,
accelerate vt.(使)增速,accelerate ,"advise vt. 忠告,劝告,建议",advise ,altitude n. 海拔,altitude ,,,,,"bag n. 书包,提包,袋子",bag ,,,,,,
,,,,,,,,,,baggage n. 行李,baggage ,,,,,,
"accent n.口音,音调",accent ,advocate vt. 提倡;为...辩护,advocate ,altogether ad. 总共,altogether ,,,,,"bake v. 烤,烘(面包) ",bake ,,,,,,
,,,,,,,,,,"bakery n. 面包房,面包店",bakery ,,,,,,
,,,,,,,,,,balance n. 平衡,balance ,,,,,,
accept vt. 接受,accept ,affair n.事务;事情,affair ,"always ad. 总是,一直,永远",always ,,,,,ball n. 球 n. 舞会,ball ,,,,,,
access n. 入口; 接近,access ,affect vt.影响,affect ,amateur n. 业余爱好者;,amateur ,,,,,,,,,,,,
"accident n.事故,意外的事",accident ,affection n. 慈爱;挚爱,affection ,"amaze v.惊奇,惊叹,震惊",amaze ,,,,,,,,,,,,
accommodation n. 住处,accommodation ,afford vt.负担得起(...的费用,afford ,ambassador n. 外交官,ambassador ,,,,,,,,,,,,
accompany vt.陪伴,accompany ,"afraid a. 害怕的,担心",afraid ,"ambition n.野心,雄心壮志",ambition ,,,,,,,,,,,,
accomplish vt. 完成; 达到(目的 ,accomplish ,be afraid of 害怕,be ,ambulance n. 救护车,ambulance ,,,,,,,,,,,,
according (to) 根据,according ,Africa n. 非洲,Africa ,"America n. 美国,美洲",America ,,,,,,,,,,,,
"account n. 账目,描述  ",account ,"African a. 非洲的,非洲人的",African ,"Americana. 美国的,美国人的n. 美国人 ",Americana. ,,,,,,,,,,,,
,,,,"among prep. 在...中间,在(三个以上) 之间",among ,,,,,,,,,,,,
"accumulate vt.& vi. 堆积,积累",accumulate ,"after ad. 在后,后来",after ,"amount n.总数,数额,数量",amount ,,,,,,,,,,,,
accurate a..准确无误的,accurate ,"afternoon n. 下午,午后 ",afternoon ,amuse vt. 使人发笑,amuse ,,,,,,,,,,,,
"accuse v.指责,谴责,控告 ",accuse ,afterward(s) ad. 后来,afterward(s) ,,,,,,,,,,,,,,
accustomed a.习惯的,accustomed ,"again ad. 再一次,再,又",again ,,,,,,,,,,,,,,
"ache vi.& n.痛,疼痛",ache ,,,,,,,,,,,,,,,,
"achieve vt.达到,取得",achieve ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
achievement ,achievement ,,,,,,,,,,,,,,,,
acid a.酸的,acid ,,,,,,,,,,,,,,,,
acknowledge ,acknowledge ,,,,,,,,,,,,,,,,
acquire vt.,acquire ,,,,,,,,,,,,,,,,
"across prep.横过,穿过 act n. 法令,条例",across ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
action n.行动,action ,,,,,,,,,,,,,,,,
"active a.积极的,主动的 ",active ,,,,,,,,,,,,,,,,
activity n.活动,activity ,,,,,,,,,,,,,,,,
