"turn v. 旋转,翻转,转变,转弯",turn ,,,"visit n.& vt. 参观,访问,拜访",visit ,well (比较级 better 最高级 best),well ,widespread a.分布广的;普遍的 ,widespread ,"would modal v.(will 的过去时)将会,打算, 想要,过去常常",would 
,,upon prep. 在......上面,upon ,"visitor n. 访问者,参观者",visitor ,,,wife n.妻子,wife ,"wound vt. 伤,伤害 n.创伤,伤口",wound 
"tutor n.私人教师,家庭教师",tutor ,"upper a. 较高的,较上的",upper ,"visual a.视力的,视觉的,可以看得见的 vital adj 必不可少的,决定性的,必要的 vivid adj 鲜艳的,清晰的",visual ,,,"wild a.未开发的,荒凉的;野生的,野的",wild ,"wrestle vi,n.扭打,摔跤,奋力对付 ",wrestle 
,,,,,,,,wildlife n.野生动物,wildlife ,wrinkle n.皱纹 vt 使...起皱,wrinkle 
twelfth num. 第十二,twelfth ,"upset a. 心烦的,苦恼的",upset ,voice n. 说话声; 语态,voice ,,,"will n.意志,遗嘱",will ,"write (wrote, written) v. 写,书写;写作,著 述",write 
twelve num. 十二,twelve ,"upstairs ad. 在楼上,到楼上",upstairs ,volcano n.火山,volcano ,,,"would modal v. 将,会(表示将来);愿 意,要",would ,"wrong a.错误的;不正常的,有毛病的",wrong 
,,"upward(s) ad. 向上, 往上",upward(s) ,,,,,,,,
twentieth num. 第二十,twentieth ,urban adj 都市的,urban ,volleyball n. 排球,volleyball ,,,,,,
twenty num. 二十,twenty ,"urge vt 激励,催促,n 刺激,冲动 ",urge ,"volunteer n.自告奋勇者,志愿者 vt 自愿 提供",volunteer ,"well-known a.出名的,众所周知的",well-known ,willing a.乐意的;愿意的,willing ,,
,,"urgent adj 紧急的,迫切的",urgent ,,,,,,,,
"twice ad. 两次,两倍",twice ,us pron. 我们,us ,"vote vi. 选举,投票",vote ,west a. (在)西的;向西的;从西来的,west ,"win (won,won) n.获胜,赢得",win ,"X-ray n .X射线, X光",X-ray 
twist vt 缠绕 vi 蜿蜒 迂回,twist ,"use n.& vt.利用,使用,应用",use ,"voyage n. 航行,旅行",voyage ,"western a. 西方的,西部的",western ,"wind n.风 wind(winded/wound,winded/wound) vt. 缠绕,连带;蜿蜒,弯曲",wind ,,
two num. 二,two ,"used a. 用过的,旧的,二手的 ",used ,,,"wet a.湿的,潮的,多雨的",wet ,,,"yard n. 码, 院子,场地",yard 
,,"useful a. 有用的,有益的",useful ,,,,,,,,
type vt. 打字,type ,"usual a. 通常的,平常的",usual ,"wage n.工资,工钱,报酬",wage ,whale n.鲸,whale ,window n.窗户;计算机的窗口  ,window ,"yawn n.呵欠,vi 打呵欠",yawn 
,,,,,,,,"windy adj 多风的,风大的",windy ,,
,,,,,,,,wine n.酒,wine ,,
typewriter n. 打字机,typewriter ,"useless adj 无用的,无益的",useless ,"wait vi.等,等候",wait ,"what pron. 什么,怎么样",what ,"wing n.机翼,翅膀",wing ,year n. 年,year 
typhoon n.台风,typhoon ,"user n.用户,使用者",user ,waiter n. (餐厅)男服务员,waiter ,,,,,yell n.叫喊 vi 叫喊,yell 
"typical adj 代表性的,典型的,象征的 ",typical ,"usual adj.通常的,平常的,惯例的 ",usual ,waiting-room n. 等候室;候诊室,waiting-room ,"whatever conj.& pron. 无论什么,不管什 么",whatever ,winner n.获胜者 ,winner ,yellow a. 黄色的,yellow 
typist n. 打字员,typist ,,,,,,,"winter n.冬天,冬季",winter ,,
tyre/tire n. 轮胎,tyre/tire ,"usually ad. 通常,经常",,waitress n.女服务员,waitress ,wheat n.小麦,wheat ,wipe v.擦;擦净;擦干,wipe ,"yes ad. 是,好,同意",yes 
,,,,,,,,wire n.电线,wire ,,
,,,,"wake (woke,woken) v. 醒,醒来,叫醒",wake ,"wheel n.轮,机轮",wheel ,"wise a.聪明的,英明的,有见识的 ",wise ,yesterday n.& ad. 昨天,yesterday 
,,,,,,,,wisdom n.智慧,wisdom ,,
"ugly a. 丑陋的, 难看的",ugly ,"vacant adj 空着的,空缺的",vacant ,"walk n.& v. 步行,散步",walk ,"when conj. 当......的时候 ad. 什么时候, 何时",when ,"wish n.愿望,祝愿",wish ,"yet ad. 尚,还,仍然",yet 
,,"vacation n. 假期,休假",vacation ,,,,,,,,
umbrella n. 雨伞,umbrella ,valid adj 有效的,valid ,wall n. 墙,wall ,"whenever conj. 每当,无论何时",whenever ,,,"you pron. 你,你们",you 
unbearable adj 不堪忍受的,unbearable ,"valley n. 山谷, 溪谷",valley ,"wander vi. 漫游,游荡,漫步,流浪",wander ,where ad. 在哪里;往哪里,where ,,,young a. 年轻的,young 
"unbelievable adj 不可信的,不能令人相信 的",unbelievable ,"valuable a. 值钱的,贵重的 ",valuable ,"want vt. 想,想要;需要,必要",want ,wherever conj. 无论在哪里,wherever ,with prep. 关于;带有;以;和;用;有 ,with ,"your pron. 你的,你们的",your 
,,"value n. 价值,益处",value ,,,,,"withdraw vt 取回, 撤回",,,
"uncle n. 叔,伯,舅,姑夫,姨父 , ",uncle ,"variety n. 种种,种类",variety ,war n. 战争,war ,whether conj.是否,whether ,within prep. 在......里面,within ,"yours pron. 你的,你们的(名词性物主代 词)",yours 
"unconscious adj 无知觉的,无意识的",unconscious ,,,,,,,,,,
"under ad.& prep. 在......下面,向......下 面",under ,,,,,,,,,,
underground a. 地下的 bn. 地铁 ,underground ,"various a. 各种各样的,不同的 ",various ,"warm a. 暖和的,温暖的;热情的",warm ,which pron.那(哪)一个;那(哪)一些,which ,without prep. 没有,without ,yourself pron. 你自己,yourself 
"understand (understood, understood) 懂得,明白,理解",understand ,vase n.花瓶,vase ,,,,,,,,
"undertake(undertook, undertaken) 任,尝试,答应,着手","undertake(undertook, ","vast a. 巨大的,广阔的 ",vast ,warmth n.温暖,warmth ,,,"witness n.目击者,证人 vt 目睹,为...作 证",witness ,yourselves pron. 你们自己,yourselves 
,,vegetable n. 蔬菜,vegetable ,,,,,,,,
"unfair a.不公平的,不公正的】",unfair ,vehicle n.机动车,vehicle ,"warn vt. 警告,预先通知",warn ,whichever pron 无论哪个,whichever ,wolf (复 wolves)n.狼,wolf ,"youth n. 青春, 青年",youth 
uniform n. 制服,uniform ,verb n.动词,verb ,warning n.警报,warning ,"while conj. 在......的时候,和......同时",while ,"woman (复 women)n. 妇女,女人",woman ,,
"union n. 联合,联盟,工会】",union ,"version n.说法,版本",version ,wash n.洗(涤);冲洗;洗剂;泼溅;洗的衣服,wash ,,,"wonder v.对......疑惑,感到惊奇,想知道",wonder ,,
unique adj 独一无二的,unique ,"very ad. 很,非常",very ,,,"whisper v.低语,私下说",whisper ,,,zebra n. 斑马,zebra 
"unit n. 单元,单位",unit ,"vest n.汗衫,背心",vest ,waste n.& vt. 浪费,waste ,,,,,"zero n. & num.零,零度,零点",zero 
"unite v. 联合,团结",unite ,"vice n.恶习,缺陷,副...",vice ,"watch vt.观看,注视;注意 n.手表,表",watch ,,,"wonderful adj 美妙的,精彩的;了不起的; 太好了",wonderful ,"zip v.& n.拉开(或扣上)......的拉链,拉链",zip 
,,,,,,,,,,"zone n.区域,范围",zone 
"united a. 联合的,团结的",united ,"victim n.受害者,灾民 ",victim ,,,,,"wood n.木头,木材;(复)树木,森林",wood ,zoo n.动物园,zoo 
universe n. 宇宙,universe ,victory n. 胜利,victory ,water n.水 v.浇水,water ,,,wooden a.木制的,wooden ,,
university n. 大学,university ,,,watermelon n.西瓜,watermelon ,,,"wool n.羊毛,羊绒",wool ,,
,,,,"wave n. (热、光、声等的)波,波浪",wave ,,,,,,
,,,,,,,,,,,
,,,,we pron. 我们,we ,,,,,,
,,,,"weak a.差的,弱的,淡的",weak ,,,,,,
