17 - List1 Original,17_1,17 - List2 Original,17_2,17- List3 Original,17_3,18 - List1 Original,18_1,18 - List2 Original,18_2,18 - List3 Original,18_3,19 - List1 Original,19_1,19 - List2 Original,19_2,19 - List3 Original,19_3
postpone,postpone,"problem n. 问题,难题",problem ,questionnaire n. 问卷,questionnaire ,"recent a. 近来的,最近的",recent ,republic n. 共和国,republic ,rose n. 玫瑰花,rose ,scarf n 围巾,scarf ,service n.服务,service ,"show n. 展示,展览(会),演出 show (showed, shown 或 showed)",show 
pot,pot,"procedure n. 程序,手续,步骤",procedure ,"queue n. 行列,长队",queue ,reception n. 接待,reception ,"reputation n. 名气,名声,名誉",reputation ,rot vt.&vi. (使)腐烂,rot ,"scene n. (戏剧、电影等的)一场,场景, 布景",scene ,"set(set,set) n. 装备,设备 vt. 设置(布景, 背景)vt. 释放,安置","set(set,set) ",,
potato,potato,"process n.过程; v. 加工; vi. 列队前进; vt. 加工,处理",process ,"quick a. 快,敏捷的,急剧的 ad. 快地, 敏捷地,急剧地",quick ,receptionist n. 接待员,receptionist ,"request n. 请求,要求的事物",request ,"rough a. 粗糙的,粗略的",rough ,"scenery n 风景,景色",scenery ,"settle vi. 安家,定居",settle ,,
potential,potential,"produce vt.生产,制造",produce ,"quiet n. 安静,闲适,平静; a. 安静的,静止的, 宁静的: v. 静止,使...减少 ",quiet ,"recipe n. 处方,食谱",recipe ,"require vt. 需求, 要求",require ,"round ad.转过来 prep.环绕一周,围着 a. 圆的,球形的",round ,"schedule n 预定,计划; 时刻表",schedule ,"settlement n. 新拓居地,(美)部落,村落 settler n. 移居者,开拓者",settlement ,"shower n. 阵雨, 淋浴",shower 
pound,pound,"product n. 产品,成果,乘积",product ,quilt n. 被子,quilt ,recite v. 背诵,recite ,"requirement n.需要,要求,必要的条件 ",requirement ,"routine adj. 例行的,常规的",routine ,scholar n. 学者,scholar ,seven num. 七,seven ,"shuttle n. 航天飞机,公共汽车",shuttle 
,,,,,,,,"rescue vt.营救,援救",rescue ,"row n. (一)排,(一)行 v. 划船",row ,scholarship n. 奖学金,scholarship ,"several pron.几个,数个 a. 若干",several ,"shut (shut, shut) v&n. 关上,封闭,禁闭, ",shut 
pour,pour,"production n. 生产,制造",production ,"quit v. 停止,放弃",quit ,recognise (美 recognize) vt. 认出,recognise ,"research n. 研究,调查",research ,royal adj. 王室的;高贵的,royal ,"school n.学校 vt.锻炼, 教育",school ,"severe adj. 严峻的,严厉的",severe ,shy a. 害羞的,shy 
,,,,,,recommend v. 推荐,recommend ,"reservation n. 预定,保留",reservation ,"rubber n. 橡胶,合成橡胶",rubber ,schoolmate n. 同校同学,schoolmate ,"sew (sewed, sewn 或 sewed) vi. 缝, 缝制, 缝补,缝纫",sew ,"sick a. 有病的,(想)呕吐 ,一边的 ",sick 
,,,,,,,,,,,,,,,,sideways a. ad. 向侧面的,sideways 
,,,,,,,,,,,,,,,,sickness n. 疾病,sickness 
powder,powder,profession n.(需要有高等教育学位的)职,profession ,"quite ad. 完全,十分,很,相当 adv. 完全",quite ,"record n. 记录, 唱片;v. 录制,记录 ",record ,"reserve vt. 预定,保留",reserve ,"rubbish n. 垃圾,废物",rubbish ,"science n. 科学,自然科学",science ,"sex n. 性,性别",sex ,"side n. 边,旁边,面,侧面",side 
,,,,,,recorder n. 录音机,recorder ,"resist v.抵抗,挡开",resist ,"rude a. 无理的, 粗鲁的",rude ,scientific a. 科学的,scientific ,"shade n. 阴凉处,树荫处",shade ,"sigh vi. 叹息, 叹气",sigh 
powerful,powerful,professor n. 教授,professor ,rabbit n. 兔子,rabbit ,"recover vi. 痊愈, 恢复",recover ,"respect vt.& n. 尊敬,尊重",respect ,"ruin vt. (使)毁坏,(使) 毁灭 n. (复) 废 墟,遗迹",ruin ,scientist n. 科学家,scientist ,"shabby adj. 破旧的,卑鄙的",shabby ,"sight n. 情景,风景,视力",sight 
,,,,,,,,,,,,,,,,"sightseeing n.游览,观光",sightseeing 
practical,practical,"profit n. 利润,赢利,利益; v. 有益,获利,赚 钱",profit ,"race n. 种族,民族",race ,"recreation n.娱乐,消遣",recreation ,"respond v 回答,应答",respond ,"rule n. 规则,规定",rule ,scold vt. 责骂,scold ,"shadow n. 影子, 阴影",shadow ,"sign n. 符号,标记",sign 
practice,practice,"programme /美 program n. 节目,项目",programme ,"radiation n. 放射,放射物 radio n. 无线电,收音机",radiation ,"recycle vt. 回收, 再循环",recycle ,"responsibility n 责任,义务",responsibility ,"ruler n. 统治者,直尺",ruler ,"score n.& v. 得分,分数",score ,"shake (shook, shaken) v.(使)动摇,震动 ",shake ,"signal n. 信号,暗号",signal 
,,,,,,,,,,,,,,"shall (should) v. aux. (表示将来)将要, 会,......好吗",shall ,signature n. 签名,signature 
,,prohibit vt. 禁止,prohibit ,"rag n. 抹布,旧布(pl.破旧衣服) ",rag ,red n. 红色 a.红色的,red ,"rest n.休息,剩余的部分,其余的人(物)",rest ,"run (ran, run) vi. 跑,奔跑,(颜色)褪色 rush vi. 冲,奔跑",run ,"scratch v.抓,刮 n 抓痕,擦伤",scratch ,"shallow a. 浅的,肤浅的",shallow ,"significance n 意义,重要性",significance 
praise,praise,"progress n. 进步,上进 vi. 进展, 进行",progress ,rail n. 铁轨,rail ,"reduce vt. 减少,缩减",reduce ,"restaurant n. 饭馆, 饭店",restaurant ,"Russia n. 俄罗斯,俄国",Russia ,scream n. 尖叫,scream ,"shame n. 遗憾的事,羞愧",shame ,,
,,project n. 工程,project ,"railway n. 铁路,铁道",railway ,"refer vi. 谈到,提到,涉及,有关 ",refer ,"restriction n. 限制,约束",restriction ,"Russian a. 俄国人的,俄语的 n. 俄国人, 俄语",Russian ,"screen n. 幕,荧光屏",screen ,,,,
,,,,,,"reference n. 提到,论及;参考,查阅;推 荐信,介绍人",reference ,"result n. 结果,效果",result ,,,"sculpture n. 雕刻作品,雕像",sculpture ,,,,
prayer,prayer,"promise n.& vi. 答应,允诺",promise ,"rain n. 雨,雨水 vi. 下雨",rain ,reflect vt. 反射;反省;反映,reflect ,"retell vt. 重讲,重复,复述",retell ,,,"sea n. 海,海洋",sea ,,,,
precious,precious,"promote vt. 促进,提拔,宣传",promote ,rainbow n. 彩虹,rainbow ,reform v & n. 改革,reform ,retire v. 退休,retire ,,,"search n.& v. 搜寻,搜查",search ,,,,
prefer,prefer,pronounce vt. 发音,pronounce ,"rainy a. 下雨的,多雨的 ",rainy ,refrigerator n. 冰箱,refrigerator ,"return n. 返回,归还,报答; v. 返回,归还,回 来",return ,,,seaside n. 海滨,seaside ,,,,
prejudice,prejudice,pronunciation n. 发音,pronunciation ,raincoat n. 雨衣,raincoat ,"refuse vi.拒绝,不愿",refuse ,"review vt. 重新调查, 回顾, 复习 n. 复 查,复习,评论",review ,,,"season n. 季,季节",season ,,,,
,,,,"rainfall n. 一场雨, 降雨量",rainfall ,regard v.把......看作,regard ,"revision n. 复习,温习",revision ,,,"seat n. 座位,座",seat ,,,,
premier,premier,"proper a. 恰当的,合适的",proper ,"raise vt. 使升高, 饲养",raise ,"regardless adv. 不管,不顾",regardless ,"revolution n. 革命,变革",revolution ,,,second n. 秒 num. 第二,second ,,,,
,,,,"range n. 范围,幅度 vi.(在某范围内)变化 ",range ,"register n.&vt. 登记,注册",register ,"rice n. 稻米,米饭",rice ,,,,,,,,
preparation,preparation,protect vt. 保护,protect ,"rank n. 职衔,军衔",rank ,"regret n.& vt.可惜,遗憾,痛惜,哀悼",regret ,"rich a. 富裕的,有钱的",rich ,,,,,,,,
,,,,,,"regular a. 规则的,经常",regular ,riddle n. 谜语,riddle ,,,,,,,,
preparation,preparation,protection n. 保护,protection ,"rapid a. 快的,迅速的 ",rapid ,"regulation n. 规则,规章",regulation ,,,,,,,,,,
,,,,"rare a. 罕见的,稀有的",rare ,reject vt. 拒绝,reject ,,,,,,,,,,
prepare,prepare,"proud a. 自豪的, 骄傲的",proud ,rat n. 老鼠,rat ,"relate vi. 有关,涉及",relate ,,,,,,,,,,
,,,,rate n. 比率;速度;价格,rate ,"relation n. 关系, 亲属",relation ,,,,,,,,,,
present,present,prove vt. 证明,prove ,,,relationship n. 关系,relationship ,,,,,,,,,,
,,,,,,"relative n. 亲属,亲戚",relative ,,,,,,,,,,
presentation,presentation,provide vt. 提供,provide ,,,"relax v. (使)放松,轻松",relax ,,,,,,,,,,
president,president,province n. 省,province ,,,,,,,,,,,,,,
press,press,"psychology1 n. 心理,心理学",psychology1 ,,,,,,,,,,,,,,
pretend,pretend,"pub n.酒店,酒吧",pub ,,,,,,,,,,,,,,
pretty,pretty,"public a. 公共的,公众的 n. 公众",public ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"publish vt. 出版,发行",publish ,,,,,,,,,,,,,,
prevent,prevent,"pull v. 拉,拖 n. 拉力,引力",pull ,,,,,,,,,,,,,,
preview,preview,pump vt. 用泵抽水,pump ,,,,,,,,,,,,,,
previous,previous,punctual a.准时的,punctual ,,,,,,,,,,,,,,
,,punctuation n. 标点符号,punctuation ,,,,,,,,,,,,,,
,,"punish v. 惩罚,处罚",punish ,,,,,,,,,,,,,,
,,punishment n. 惩罚,punishment ,,,,,,,,,,,,,,
